H2O2.up,H2O2.down,low.C,low.N,low.P,low.S,aerobic,aerobic.only,anaerobic,anaerobic.only,anaerobic.C.CO2.up,anaerobic.C.CO2.down,aerobic.N.CO2.up,aerobic.N.CO2.down,aerobic.C.CO2.up,aerobic.C.CO2.down,glucose,nitrogen,ethanol,pressure,alkaline,acid.up,acid.down,12C.Clim.up,12C.Clim.down,12C.Nlim.up,12C.Nlim.down,12C.CNlim.up,12C.CNlim.down,dry.up4,dry.down4,dry.up5,dry.down5,dry.up,dry.down,200MPa.up,200MPa.down,40MPa.up,40MPa.down,180MPa.up,180MPa.down,Clim.aerobic.up,Clim.aerobic.down,Clim.anaerobic.up,Clim.anaerobic.down,acid.up,acid.down,base.down,base.up,15C.1h,15C.5h,15C.1h.down,15C.5h.down,N.limited,C.limited,pressure,pressure.down,heat,heat.down,acid.up.an,acid.down.an,acid.an,base.an,base.up.an,base.down.an
Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Sce,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco,Eco
GLL+98,GLL+98,BWP+03,BWP+03,BWP+03,BWP+03,LLD+99,LLD+99,LLD+99,LLD+99,APW+05,APW+05,APW+05,APW+05,APW+05,APW+05,KDF+06,KDF+06,AAD+01,FDK+04,SRB+02,SMM+04,SMM+04,TDW+07,TDW+07,TDW+07,TDW+07,TDW+07,TDW+07,SKR+05,SKR+05,SKR+05,SKR+05,SKR+05,SKR+05,FDK+04,FDK+04,ISO+03,ISO+03,ISO+03,ISO+03,TBD+05,TBD+05,TBD+05,TBD+05,MYB+05,MYB+05,MYB+05,MYB+05,PI04,PI04,PI04,PI04,HYO+04,HYO+04,IOS+05,IOS+05,RGM+99,RGM+99,TWS+06,TWS+06,TWS+06,TWS+06,TWS+06,TWS+06
YKR066C,YMR186W,YBR116C,YIR028W,YAR071W,YFL055W,YOR388C,YOR388C,YMR319C,YMR319C,YBL074C,YLR109W,YGL263W,YGR035C,YPL265W,YDL214C,YBL015W,YIR031C,YCL040W,YCR021C,YOR374W,YCR021C,YML123C,YLR168C,YAL039C,YAR028W,RPR1,YAL007C,YAL062W,NA,NA,YOR388C,YLR342W,YOR388C,YLR342W,YDL204W,YMR174C,YGL075C,YDL227C,YBR072W,YHR128W,YLR307W,YLR179C,YLR089C,YLR297W,yagU,fliC,tnaC,yifO,aer,cheW,fecA,tas,dapB,paaK,242.1,(fimD),b3686,b2779,gadA,ompF,hycA,cpxP,gadA,tdcB
YGR088W,YLL024C,YBR117C,YJL172W,YCR098C,YGR087C,YPL275W,YPL275W,YPR194C,YPR194C,YAR062W,YOL082W,YLL062C,YKL162C,YKR097W,YOR388C,YAL054C,YHR018C,YFR053C,YFL014W,YPL061W,YER150W,YEL046C,YLR132C,YAL060W,YAR033W,SUC4,YAL025C,YBL042C,NA,NA,YMR175W,YGR234W,YMR175W,YGR234W,YER067W,YPL131W,YER103W,YHR215W,YGR142W,YAR028W,YLR284C,YLR108C,YLR038C,YLR306W,yhcN,malM,lamB,ymgD,atoE,cheY,fecB,artP,glnD,aroF,246.1,(gltD),b3687,b1887,aidB,proV,adiC,b3913,cpxP,srlA
YPL091W,YAL003W,YCR010C,YJR152W,YDR281C,YIL166C,YPL276W,YPL276W,YIR019C,YIR019C,YIL059C,YOR153W,YPL187W,YIR028W,YGL263W,YMR175W,YDL124W,YLR155C,YDR516C,YLR178C,YOR095C,YPL058C,YLR355C,YLR134W,YAL069W,YAR075W,YAL028W,YAL059W,YBL048W,NA,NA,YKL107W,YGR138C,YKL107W,YGR138C,YCR021C,YDL214C,YER098W,YAR071W,YER103W,YBR153W,YLR194C,YLL028W,YLL041C,YLR246W,sdhC,malK,malK,tnaC,dctA,dcuA,fecC,trpB,asnB,pckA,246.2,(yagR),b2592,b2286,yhiM,yfdI,hycE,sdhC,b3913,tdcD
YJR104C,YOR133W,YDL085W,YKR034W,YHR136C,YLL056C,YDR256C,YDR256C,YHL042W,YHL042W,YFR026C,NA,YHL042W,YKL198C,YHR216W,YBR072W,YDR516C,YGL252C,YIL107C,YGR088W,YEL071W,YHR087W,YKR039W,YLR108C,YAR035W,YBL039C,YAL061W,YAR003W,YBL049W,NA,NA,YPL276W,YLR367W,YPL276W,YLR367W,YFL014W,YJL150W,YCR039C,YGL089C,YLR058C,YDR009W,YLR174W,YKR093W,YKL148C,YLR211C,lysP,lamB,malM,cpxP,fabB,dmsC,fecE,leu,serC,tnaA,aceA,(yagR),b0473,b1782,adiC,borD,adiA,mutL,bdm,srlB
YHR008C,YLR249W,YDR256C,YMR088C,NA,YLL057C,YHR096C,YHR096C,YHR210C,YHR210C,YFL050C,NA,YFL031W,YJL213W,YAR073W,YML122C,YNL134C,YMR215W,YJL052W,YOL052C-A,YIL162W,YDL204W,YGR159C,YLR065C,YAR068W,YBR029C,YAR044W,YAR069C,YBL075C,NA,NA,YBL075C,YBR092C,YBL075C,YBR092C,YER150W,YOL013C,YDL107W,YBR054W,YDR445C,YDR012W,YKR091W,YKL043W,YJR158W,YLR214W,sdhD,malP,yjiY,tnaA,glnH,flg,fepC,pur,trpE,glpK,aceB,465.5,b3400,b0572,sufB,sdaC,citE,proV,rmf,cadB
YDR353W,YKR059W,YDR384C,YPR194C,NA,YLL058W,YNL195C,YNL195C,YGL162W,YGL162W,YMR320W,NA,YAR075W,YAR068W,YOL162W,YDR070C,YML128C,YKR043C,YDL021W,YBR072W,YDR178W,YOL052C-A,YBL042C,YLR036C,YBR019C,YBR142W,YBL007C,YAR073W,YBL084C,NA,NA,YJR095W,YHR092C,YJR095W,YHR092C,YDR070C,YMR282C,YPL030W,YBR092C,YLR162W,YDR399W,YKR067W,YKL062W,YJR048W,YLR226W,cfa,motB,nmpC,nmpC,malE,fli,fimD,pyr,astD,aceA,aslB,467.1,b4131,b2945,gadC,sdhD,yagU,borD,gadB,mdtJ
YLR043C,YEL034W,YER024W,NA,NA,YOL162W,YGR110W,YGR110W,YHL044W,YHL044W,YNR075W,NA,NA,YJL153C,YAR075W,YGR256W,YLR286C,YDR033W,YAL038W,YBR054W,YCR005C,YBR072W,YLR056W,YKR079C,YBR054W,YBR145W,YBL029W,YBL028C,YBR001C,NA,NA,YMR118C,YDR044W,YMR118C,YDR044W,YOR390W,YDL208W,YBR072W,YBR093C,YDR259C,YDR498C,YKR075C,YKL209C,YAR075W,YLR227C,nemA,cheA,malP,treB,malF,frdA,kgtP,leuA,astA,aceK,betT,576.14,b4143,b0411,adiA,nmpC,citD,yfdI,gadC,srlD
YML028W,YJR123W,YGL205W,NA,NA,YOL163W,YCR010C,YCR010C,YOL015W,YOL015W,YHR032W,NA,NA,YHR094C,YER053C,YNL036W,YNL079C,YNL030W,YMR170C,YHR053C,YBR296C,YER053C,YAL067C,YKR043C,YBR068C,YBR185C,YBL078C,YBL065W,YBR050C,NA,NA,YJL045W,YHR063C,YJL045W,YHR063C,YLR178C,YJL010C,YPL204W,YBR158W,YLL026W,YGL028C,YKR076W,YJR030C,YIL070C,YLR119W,yhcN,cheZ,tnaA,yjiY,malK,frdB,lgt,leuC,astC,sdhC,deaD,ansB,b4142,b2313,sufC,b2974,hydN,yccA,gadE,srlE
YCL035C,YPR010C,YGR043C,NA,NA,YOL164W,YDL218W,YDL218W,YJR047C,NA,YFR055W,NA,NA,YPL058C,YLL062C,YPL171C,YPL276W,YNL031C,YOR374W,YHR055C,YHR215W,YFR053C,YLR180W,YKR051W,YBR069C,YBR189W,YBL106C,YBR034C,YBR053C,NA,NA,YPL223C,YLR342W,YPL223C,YLR342W,YHR087W,YHR141C,YNL049C,YBR296C,YBR012W-,YGR103W,YKR049C,YJL213W,YHR216W,YLR098C,yagU,flxA,malE,treC,malM,frdD,lolA,leuB,oat,sdhB,dhnA,appY,b3932,b1903,slp,pppA,yeiA,ymgB,ymgB,lacA
YDR453C,YLR340W,YGR236C,NA,NA,NA,YPL223C,NA,YJR150C,NA,YAR073W,NA,NA,YNL036W,YBR302C,YEL041W,YMR145C,YDR174W,YBR126C,YHR008C,YML123C,YHR104W,YDR039C,YKR060W,YBR092C,YBR247C,YBR026C,YBR040W,YBR056W,NA,NA,YPL201C,YEL040W,YPL201C,YEL040W,YHR092C,YBR173C,YFL014W,YCR103C,YDR258C,YHR136C,YKR009C,YJL212C,YHR051W,YLR051C,fliC,malE,borD,b3913,manY,glpQ,msbA,leuD,asd,aldA,dnaX,arcL,b1967,b1132,cbpM,NA,gatD,ymgD,ycfS,tdcC
YLR109W,YDR382W,YHR096C,NA,NA,NA,YJR095W,NA,YML083C,NA,YPR194C,NA,NA,YHR140W,YML132W,YFL014W,YOR374W,YDR225W,YML100W,YMR251W-A,YJL012C,YNL160W,YIL053W,YKL014C,YBR116C,YBR249C,YBR063C,YBR104W,YBR072W,NA,NA,YOR100C,YNL066W,YOR100C,YNL066W,YGR008C,YML092C,YGR286C,YDR278C,YDR516C,YHR143W,YKL026C,YIL111W,YHR001W,YLR022C,fimA,malQ,cpxP,yifO,manZ,glpT,nlpD,pyrB,glnA,fumC,fdnH,cadA,b3401,b1076,gadB,NA,gatC,glpD,yjbJ,gatD
YOL151W,YDL229W,YIL057C,NA,NA,NA,YMR303C,NA,YBR085W,NA,YGL101W,NA,NA,YHR124W,YER187W,YER103W,YGL205W,YOR144C,YMR105C,YKL150W,YPL019C,YOL084W,YLR419W,YKL011C,YBR117C,YBR258C,YBR066C,YBR171W,YBR085C,NA,NA,YDR524C-B,YER131W,YDR524C-B,YER131W,YGR088W,YLR454W,YER042W,YGL028C,YBR209W,YIL064W,YKL093W,YHR210C,YHR005C,YLL053C,cfa,cheW,treB,borD,nupC,hybA,oppB,pyrC,argC,fadD,fruB,cadB,b0014,b0523,narH,NA,yeiT,ycfS,osmB,fimA
YML078W,YNL209W,YIL160C,NA,NA,NA,YGR236C,NA,YOR010C,NA,YBR108W,NA,NA,YPL265W,YFR020W,YDR260C,YER015W,YKR046C,YDR001C,YHR092C,YER072W,YGR088W,YER055C,YKL055C,YBR212W,YCL002C,YBR081C,YBR183W,YBR099C,NA,NA,YPR001W,YGR203W,YPR001W,YGR203W,YDL077C,YIL136W,YGR142W,YGR108W,YDR511W,YIL129C,YKL107W,YHR179W,YGR027C,YLL052C,gltB,ibpB,yghJ,tnaB,rbsA,hybB,oppC,pyrD,lysC,gatD,fruK,cbpA,b4171,b2508,cbpA,NA,cadB,dctA,glpD,hycA
YMR173W,YJR121W,YJR095W,NA,NA,NA,YHR139C,NA,YER011W,NA,YMR020W,NA,NA,YNL202W,YDR309C,YNL335W,YKR009C,YPL117C,YDR074W,YGR008C,YLR303W,YBR183W,YLR175W,YKL132C,YCL035C,YCL036W,YBR119W,YBR238C,YBR169C,NA,NA,YNL117W,YER055C,YNL117W,YER055C,YNL194C,YNR008W,YKL115C,YHR048W,YNL045W,YIL133C,YKL138C,YHR048W,YGL147C,YKR035C,ydiY,yhjH,yjiX,ycfS,rbsB,hybC,plsX,pyrE,phoH,yfcX,glpA,cinA,b4140,b4117,gadE,NA,adiY,tgt,katE,cadA
YLL026W,YKL056C,YKL217W,NA,NA,NA,YPR151C,NA,YKR053C,NA,YOL031C,NA,NA,YOR273C,YAR029W,YJR109C,YIL160C,YLR229C,YKR058W,YDR342C,YKL001C,YER067W,YLR300W,YKL128C,YCR005C,YCL055W,YBR126C,YCL059C,YBR294W,NA,NA,YMR085W,YGL012W,YMR085W,YGL012W,YML128C,YJL005W,YDL171C,YHR143W,YFL032W,YJL051W,YKL171W,YHR049W,YGL162W,YKL201C,ycdN,htpG,fecB,yghJ,rbsC,hypB,potA,purA,gadB,malT,glpB,dcuB,b3179,b0973,mdtE,NA,cadA,yeaC,mutL,fimC
YFL014W,YLR179C,YLR174W,NA,NA,NA,YMR107W,NA,YER188W,NA,YNL158W,NA,NA,YPL095C,YLR343W,YGL156W,YIL155C,YOR375C,YEL011W,YDR343C,YGL037C,YLR178C,YNL300W,YKL125W,YCR018C,YCL074W,YBR139W,YCR044C,YBR298C,NA,NA,YKL050C,YAL012W,YKL050C,YAL012W,YDR342C,YDR150W,YDR506C,YLL044W,YKR011C,YKL037W,YKL187C,YGR192C,YGL191W,YKR086W,yncD,deoC,ompF,ymgD,rbsD,hypE,potB,purB,ugd,malS,glpD,deoC,b3498,b2476,narG,NA,mdtJ,yebE,NA,ykgA
YBR072W,YPR074C,YLR377C,NA,NA,NA,YMR118C,NA,YCL025C,NA,YPL245W,NA,NA,YOL052C-A,YGL162W,YDL021W,YMR303C,YPR035W,YFR015C,YGR060W,YML106W,YBR054W,YGL255W,YKL154W,YCR073W,YCR034W,YBR150C,YCR089W,YBR299W,NA,NA,YDL214C,YPR074C,YDL214C,YPR074C,YOL052C-A,YKL108W,YBR067C,YLR339C,YBL078C,YKL178C,YJR156C,YGR125W,YGL187C,YKR104W,mqo,pstS,treC,yccA,sanA,nupG,potC,purC,fcl,aldB,glpK,dmsA,b0582,b2297,yegP,NA,aidB,htpX,NA,argO
YDR171W,YOL086C,YMR107W,NA,NA,NA,YLR174W,NA,YPL265W,NA,YIL141W,NA,NA,YKL178C,YMR024W,YOL153C,YBR145W,YER133W,YPR160W,YDL021W,YPL057C,YFL029C,YDR399W,YJR069C,YDL033C,YCR060W,YBR180W,YCR100C,YCL025C,NA,NA,YDR256C,YLR342W,YDR256C,YLR342W,YNL266W,YNL268W,YGR128C,YOR024W,YGR180C,YLR218C,YJR109C,YGR041W,YFR033C,YKR063C,dhaH,dnaK,fecA,yfiA,trg,ompC,proP,purD,gmd,fadA,glpQ,dmsB,b3399,b1888,ybaS,NA,yhiM,malM,NA,nrfB
YPL240C,YPL061W,YMR118C,NA,NA,NA,YPL201C,NA,YDL241W,NA,YPL124W,NA,NA,YJR148W,YIR043C,YBR169C,YCL040W,YMR083W,YKL035W,YHR215W,YLR056W,YAL061W,YKR093W,YJR073C,YDL085W,YCR087C,YBR208C,YDR045C,YCL065W,NA,NA,YNR064C,YGR234W,YNR064C,YGR234W,YDR343C,YJR069C,YJR133W,YOR273C,YDL173W,YMR119W,YJR094C,YGL065C,YEL024W,YKR050W,cheA,tar,pstS,yebE,xylF,ompT,proV,NA,mqo,fadB,glpT,dpaL,b2394,b4115,cfa,NA,appC,oppB,NA,tdcF
YCL043C,YHR174W,YMR175W,NA,NA,NA,YDR380W,NA,YBL029W,NA,YOR226C,NA,NA,YPL171C,YIR039C,YER062C,YFR053C,YKL152C,YDL022W,YOR374W,YOL165C,YBL015W,YBR043C,YJR054W,YDL223C,YCR099C,YBR214W,YDR174W,YCR021C,NA,NA,YPL017C,YHR049W,YPL017C,YHR049W,YOR220W,YGR223C,YNL248C,YAL064W,YBR284W,YMR147W,YJR095W,YFL026W,YDR529C,YKR060W,motB,yjdA,b3913,yjiX,ybeJ,tap,proW,NA,gabT,udhA,mgtA,dps,b3931,b1676,hyaF,NA,appB,aceA,NA,ompF
YAL005C,YLR044C,YMR206W,NA,NA,NA,YMR058W,NA,YDR044W,NA,YDR033W,NA,NA,YGR150C,YLR179C,YNR002C,YKL127W,YLR044C,YER062C,YFR053C,YCR107W,YCL040W,YLR372W,YJR055W,YDR046C,YDL014W,YBR285W,YDR184C,YCR068W,NA,NA,YGL205W,YNR014W,YGL205W,YNR014W,YNL200C,YCR026C,YML104C,YBL053W,YPR040W,YNL141W,YJR096W,YFL025C,YDR342C,YKR023W,NA,dnaJ,fecE,nrdD,adhE,tar,proX,NA,gadA,manX,oppD,fimA,b0015,b2497,ygeW,NA,ygeW,bdm,NA,gatC
YBL075C,YFL045C,YMR303C,NA,NA,NA,YBR047W,NA,YLR413W,NA,YCR063W,NA,NA,YOR313C,YBR208C,YDL049C,YMR125W,YLR134W,YML070W,YOR178C,YFL056C,YMR169C,YAL059W,YJL025W,YDR070C,YDL066W,YBR296C,YDR222W,YCR098C,NA,NA,YJL153C,YGL157W,YJL153C,YGL157W,YOL101C,YIL134W,YPL040C,YBL099W,YNL017C,YNL168C,YJR019C,YER124C,YDR178W,YKR028W,NA,yrfG,NA,dniR,agp,ackA,secG,NA,sfsA,manY,phoB,fimD,b3816,b3114,gadW,NA,ykgA,b1172,NA,yagU
YKL145W,YJR009C,YNL195C,NA,NA,NA,YML054C,NA,NA,NA,YCR087C-A,NA,NA,YJL037W,YOL033W,YNL115C,YNL117W,YJR009C,YCR005C,YMR169C,YBR158W,YNR001C,YDR492W,YJL050W,YDR216W,YDL082W,YCL012W,YDR412W,YDL021W,NA,NA,RDN37-1,YPR145W,RDN37-1,YPR145W,YLR327C,YDL046W,YBL106C,YCL023C,YOL123W,YNL201C,YJL045W,YER053C,YDL130W,YKL021C,NA,yheL,NA,alx,aldA,ansB,tolA,NA,adhE,manZ,phoR,frdA,b2614,b1924,citE,NA,nrfB,fdoG,NA,NA
YER012W,YGR192C,YNR002C,NA,NA,NA,YLR205C,NA,NA,NA,YDL039C,NA,NA,YDR294C,YGL062W,YDL199C,YJL153C,YDR050C,YDL130W-A,YCL040W,YLR214W,YDL222C,YGR175C,YJL062W,YDR256C,YDL083C,YCL024W,YDR432W,YDL071C,NA,NA,YOR348C,YML056C,YOR348C,YML056C,YIL066C,YIL076W,YDR334W,YCL025C,YKL100C,YPL256C,YJL037W,YER028C,YDL174C,YKL031W,NA,deoA,NA,mutL,aphA,asnB,trkH,NA,yqhD,gatR,potA,frdB,b0016,b0116,gadX,NA,hyaF,ompT,NA,NA
YJL001W,YFL018C,YOL101C,NA,NA,NA,YPL147W,NA,NA,NA,YGL041C,NA,NA,YLR089C,YOR266W,YDR380W,YDL120W,YGR155W,YER054C,YPR184W,YOR382W,YDR343C,YGR189C,YJL060W,YDR365C,YDL121C,YCL064C,YDR512C,YDL079C,NA,NA,YGL205W,YLR342W,YGL205W,YLR342W,YNL160W,YDR430C,YIR020C,YCL064C,YFR053C,YPR055W,YJL089W,YEL016C,YDL181W,YKL076C,NA,NA,NA,NA,aspA,cydA,wzxE,NA,glgP,gatC,poxB,ftn,b0399,b0903,citD,NA,cbpM,NA,NA,NA
YMR314W,YKL085W,YOR388C,NA,NA,NA,YDR070C,NA,NA,NA,YGR040W,NA,NA,YOR382W,YBL029W,YJL037W,YML054C,YJL203W,YGR008C,YLR258W,YPL135W,YPR149W,YJL012C,YJL112W,YDR384C,YDL158C,YCR010C,YEL073C,YDL114W,NA,NA,YML089C,YGL001C,YML089C,YGL001C,YOR338W,YLR452C,YGR081C,YDL151C,YHR054C,YPR189W,YJL144W,YER001W,YCL025C,YKL075C,NA,NA,NA,NA,bfr,ftn,aceB,NA,ppc,gatB,prfA,gadA,b3293,b2925,ybeL,NA,gatA,NA,NA,NA
YML092C,YBR221C,YPL201C,NA,NA,NA,YPR001W,NA,NA,NA,YGL045W,NA,NA,YMR041C,YOR334W,YHR006W,YNL104C,YER009W,YHR179W,YDR516C,YEL065W,YOR173W,YBL071C,YJL111W,YDR428C,YDL182W,YCR011C,YER026C,YDL222C,NA,NA,YCR010C,YKL081W,YCR010C,YKL081W,YGR060W,YAL023C,YHR205W,YDR016C,YDL172C,YBR021W,YJL137C,YDR533C,YBR031W,YKL114C,NA,NA,NA,NA,carA,fumB,adhC,NA,amtB,gatY,prsA,gatD,b0882,b3512,fbaB,NA,hycD,NA,NA,NA
YGR135W,YIL053W,YPL276W,NA,NA,NA,YER065C,NA,NA,NA,YPL095C,NA,NA,YDL049C,YOL023W,YBL049W,YDR234W,YBR106W,YKL150W,YGL055W,YHL040C,YLL028W,YBL039C,YJL128C,YDR437W,YDL187C,YCR025C,YGL029W,YDR034W-B,NA,NA,YPR002W,YOR309C,YPR002W,YOR309C,YDR492W,YNL149C,YDL164C,YDR112W,YER069W,YBR158W,YJL161W,YDR352W,YPR191W,YKL111C,NA,NA,NA,NA,cfa,glpB,argB,NA,yliA,mglC,pstB,gatR,b0017,b2507,dctR,NA,gatB,NA,NA,NA
